Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Saturday, April 11, 2026","BRIGHT SATURDAY","Acts 3:11-16|Jn 3:22-33",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Antipas, Bishop-Martyr of Pergamus in Asia Minor and styled in the Apocalypse by St. John the Apostle as a ""Faithful Witness"" (2, 13). Tradition says he was roasted to death on a brazen ox during the reign of Emperor Domitian A.D. 81-96. This martyr has from God a grace to cure the pains of the teeth. — Our venerable father, Pharmuthius.",Bright Week free from fast and abstinence.,,,
"Sunday, April 12, 2026","THOMAS SUNDAY","Acts 5:12-20|Jn 20:19-31",Festal Tone,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father and confessor, Basil, Bishop of Pharia, died A.D. 736.",,,,
"Monday, April 13, 2026","Artemon—Priest-Martyr","Acts 3:19-26|Jn 2:1-11",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Thomas Week,"St. Artemon, Priest-Martyr, and others, of Laodicea, probably in Phrygia, was burned to death A.D. 305, in the reign of Diocletian, Emperor.",,,,
"Tuesday, April 14, 2026","Martin—Pope","Acts 4:1-10|Jn 3:16-21",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our holy father and confessor, Martin, Pope of Rome, combated the Monothelites. Several attempts were made against his life, and he was deported to the isle of Naxos in the Aegean. After a year of untold privation he was taken to Constantinople, suffered extreme ignominy and died in exile in the Crimea A.D. 655. — SS. Anthony, John and Eustathius, the more recent Martyrs, died in the City of Vilna in Lietuva A.D. 1342.",,,,
"Wednesday, April 15, 2026","Aristarchus & Others—Apostles","Acts 4:13-22|Jn 5:17-24",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Arstarchus, Pudus and Trophimus, Apostles, endured death A.D. 68, in the days of Nero, Emperor. — St. Sabbas Gothinus, Martyr, a Christian soldier, confessed Christ, was tortured and cast into the river to drown A.D. 372, in the reign of Valentian and Valens, Emperors. — SS. Basilissa and Anastasia, Martyrs, noble Roman ladies, among the first converts to Christianity, said to have given honorable burial to the bodies of SS. Peter and Paul, Apostles. For this they perished in the massacre of Christians incited and executed by Nero A.D. 68.",,,,
"Thursday, April 16, 2026","Agape, Irene & Chionia—Martyrs","Acts 4:23-31|Jn 5:24-30",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Agape, Irene and Chionia, Martyrs, three sisters burned at the stake at Thessalonica, under Diocletian, Emperor A.D. 304 for possessing and concealing Sacred Books of Christians.",,,,
"Friday, April 17, 2026","Simeon of Persia—Venerable-Martyr","Acts 5:1-11|Jn 5:30-6:2",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Simeon of Persia, was martyred in Mesopotamia by beheading under the Persian monarch Sapor II, in the reign of Constantius and Constnas, Emperors. — Venerable Acacius, Bishop of Melite, flourished A.D. 381 in the reign of the Emperor Theodosius the Great. — St. Agapitus, Pope of Rome, died at Constantinople A.D. 536, in the reign of Justinian, Emperor. His body was taken to Rome and interred in the Basilica of St. Peter.",Simple abstinence from meat.,,,
"Saturday, April 18, 2026","John—Venerable","Acts 5:21-33|Jn 6:14-27",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, John, a disciple of St. Gregory Decapolites, died in the reign of Theophilus the Iconoclast A.D. 829-842. — Venerable Cosmas, Bishop of Chalcedonia who died A.D. 816 during the reign of Leo the Armenian, Emperor. — Our holy father, John, Archbishop of Antioch who went to his rest A.D. 436.",,,,
"Sunday, April 19, 2026","SUNDAY OF THE OINTMENT-BEARERS","Acts 6:1-7|Mk 15:43-16:8",Festal Tone,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, John, the ancient Hermit. — St. Paphnutius, Martyr.",,,,
"Monday, April 20, 2026","Theodore the Hairshirt Wearer—Venerable","Acts 6:8-7:5,47-60|Jn 4:46-54",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3rd Paschal Week,"Our venerable father, Theodore, surnamed ""Trichinas"" from the rough habit of sackcloth which he wore, was a holy hermit near Constantinople who died not later than A.D. 320.",,,,
"Tuesday, April 21, 2026","Januarius and Others—Bishop-Martyr","Acts 8:5-17|Jn 6:27-33",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Januarius, Bishop-Martyr, and SS. Proculus, Sosius and Faustus, Deacons; St. Desiderius, Lector. SS. Eutyches and Akutionus. These were martyred in the reign of Maximian and Gallerius, Emperors, by the persecutor Timothy A.D. 305. — St. Theodore from Pergia, suffered death A.D. 142, under the Emperor Antonius Pius.",,,,
"Wednesday, April 22, 2026","Theodore Sykiot—Venerable","Acts 8:18-25|Jn 6:35-39",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Theodore, ""Sykiot,"" died A.D. 541 in the reign of Justinian, Emperor. (Confer June 15.) — SS. Nathanael, Luke and Clement, Apostles. — Venerable, Vitalius, leaving his cell, went to Alexandria, and, enduring many indignities from the men, brought many infamous women to do penance. He died A.D. 615 in the reign of Heraclius, Emperor.",,,,
"Thursday, April 23, 2026","GEORGE—GREAT-MARTYR","Acts 12:1-11|Jn 15:17-16:2",,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"Feast of St. George, the glorious Great-Martyr and wonderworker. He refused to sacrifice to the gods, was tortured and beheaded at Nicomedia in Asia Minor. — St. Alexandra, martyr, wife of Emperor Diocletian. Both George and Alexandra were martyred in the reign of Diocletian, about A.D. 296.",,,,
"Friday, April 24, 2026","Sabbas—Martyr","Acts 8:40-9:19|Jn 6:48-54",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Sabbas, Martyr and a Christian officer in the army of the Emperor Aurelian, suffered death for the faith in Rome A.D. 272.",Simple abstinence from meat.,,,
"Saturday, April 25, 2026","Mark—Apostle - Evangelist","1 Pet 5:6-14|Mk 6:7-13",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Mark, Apostle and Evangelist, a disciple and companion of St. Peter, Apostle, wrote the Second Gospel under St. Peter's direction. He founded the great church of Alexandria and there died in prison A.D. 68 in the days of Nero, Emperor.",,,,
"Sunday, April 26, 2026","SUNDAY OF THE PARALYTIC MAN","Acts 9:32-42|Jn 5:1-15",Festal Tone,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Basil, Priest-Martyr, Bishop of Amasea in Pontus (Asia Minor), was cast into the sea by the order of the Emperor Licinius A.D. 319. — Venerable virgin, Graphyra, a Christian handmaid of Constantia, wife of the Emperor Licinius, fled to escape the unlawful attentions of her master, was pursued, captured and sentenced to death A.D. 324.",,,,
"Monday, April 27, 2026","Simeon—Bishop-Martyr","Acts 10:1-16|Jn 6:56-69",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4th Paschal Week,"St. Simeon, Priest-Martyr, son of Cleopas and kinsman of our Lord, was Bishop of Jerusalem, governed that church for over forty years, lived over one hundred years and was crucified in the reign of Emperor Trajan A.D. 112. Venerable father, Stephen, Bishop of Vladimir.",,,,
"Tuesday, April 28, 2026","Jason & Sosipater—Apostles","Acts 10:21-33|Jn 7:1-13",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Jason and Sosipater, Apostles, were disciples of St. Paul in the reign of Nero A.D. 69. — SS. Maximus, Dadas, and Quinctillianus, Martyrs, beheaded about A.D. 303. — Venerable father, Cyril, Bishop of Turov.",,,,
"Wednesday, April 29, 2026","MID-PENTECOST","Acts 14:6-18|Jn 7:14-30",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Nine Martyrs at Cyzice. — Venerable, Memnon, wonderworker.",,,,
"Thursday, April 30, 2026","James the Greater—Apostle","Acts 12:1-11|Lk 5:1-11",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. James the Greater, Apostle, Brother of St. John the Theologian, was beheaded by King Herod Agrippa in Jerusalem A.D. 43.",,,,

